,Brewer,,,,Biosphere,,,,Biometer,,,Kipp_zonen
STN007,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN012,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN014,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN018,GLOBAL_SUMMARY.IntCIE/25,,,,,,,,,,,
STN021,GLOBAL_SUMMARY.IntCIE/25,,,,,,,,,,,
STN024,GLOBAL_SUMMARY.IntCIE/25,,,,,,,,,,,
STN031,GLOBAL_SUMMARY.IntCIE/25,,,,,,,,,,,
STN053,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN065,GLOBAL_SUMMARY.IntCIE/25,,,,,,,,,,,
STN067,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN076,GLOBAL_SUMMARY.IntCIE/25,,,,,,,,,,,
STN077,GLOBAL_SUMMARY.IntCIE/25,,,,,,,,,,,
STN091,,,,,,,,,GLOBAL.Irradiance*40,,,
STN095,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN101,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN111,,,,,GLOBAL_SUMMARY_NSF.UVIndex,,,,,,,
STN190,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN199,,,,,GLOBAL_SUMMARY_NSF.UVIndex,,,,,,,
STN239,,,,,GLOBAL_SUMMARY_NSF.UVIndex,,,,,,,
STN241,GLOBAL_SUMMARY.IntCIE/25,,,,,,,,,,,
STN268,,,,,GLOBAL_SUMMARY_NSF.UVIndex,,,,,,,
STN282,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN290,GLOBAL_SUMMARY.IntCIE/25,,,,,,,,,,,
STN292,,,,,GLOBAL_SUMMARY_NSF.UVIndex,,,,,,,
STN301,GLOBAL_SUMMARY.IntCIE*25,,,,,,,,,,,
STN306,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN307,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN312,,,,,,,,,GLOBAL.Irradiance*40,,,
STN315,GLOBAL_SUMMARY.IntCIE/25,,,,,,,,,,,
STN319,GLOBAL_SUMMARY.IntCIE/25,,,,,,,,,,,
STN320,GLOBAL_SUMMARY.IntCIE/25,,,,,,,,,,,
STN321,GLOBAL_SUMMARY.IntCIE/25,,,,,,,,,,,
STN331,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN332,,,N/A,,,,,,,,,
STN338,GLOBAL_SUMMARY.IntCIE/25,,,,,,,,,,,
STN339,,,,,GLOBAL_SUMMARY_NSF.UVIndex,,,,,,,
STN342,,,,,,,,,GLOBAL.Irradiance*40,,,
STN353,,,N/A,,,,,,,,,
STN377,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN379,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN380,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN382,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN383,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN384,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN385,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN386,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN387,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN388,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN389,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN390,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN391,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN392,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN393,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN402,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN412,,,,,,,,,GLOBAL.Irradiance*40,,,
STN455,,,,,,,,,,,,DIFFUSE.Irradiance*40
STN463,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,GLOBAL.Irradiance*40,,,
STN465,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN468,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN469,,,,,,,,,GLOBAL.Irradiance*40,,,
STN470,,,,,,,,,GLOBAL.Irradiance*40,,,
STN471,,,,,,,,,GLOBAL.Irradiance*40,,,
STN479,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN481,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN486,,,,,,,,,GLOBAL.Irradiance*40,,,
STN491,,,,,GLOBAL_SUMMARY_NSF.UVIndex,,,,,,,
STN499,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
STN501,,,,,,,,,GLOBAL.Irradiance*40,,,
STN511,,,,,,,,,GLOBAL.Irradiance*40,,,
STN512,GLOBAL_SUMMARY.IntCIE/40,,,,,,,,,,,
